t,density
0.000000,1.000000
0.225948,0.851515
0.451896,0.778460
0.677844,0.735779
0.903791,0.703898
1.129739,0.680132
1.355687,0.664995
1.581635,0.648941
1.807583,0.636541
2.033531,0.626406
2.259478,0.617102
2.485426,0.608190
2.711374,0.601818
2.937322,0.595374
3.163270,0.589405
3.389218,0.584459
3.615165,0.578510
3.841113,0.572434
4.067061,0.565981
4.293009,0.560181
4.518957,0.557753
4.744905,0.554043
4.970852,0.549803
5.196800,0.546279
5.422748,0.543639
5.648696,0.540919
5.874644,0.536872
6.100592,0.535654
6.326540,0.534811
6.552487,0.531716
6.778435,0.529461
7.004383,0.527417
7.230331,0.524765
7.456279,0.523361
7.682227,0.522408
7.908175,0.520415
8.134123,0.518511
8.360070,0.515098
8.586018,0.512688
8.811966,0.511040
9.037913,0.511551
9.263862,0.510790
9.489809,0.508822
9.715757,0.504485
9.941705,0.501904
10.167653,0.500935
10.393600,0.500057
10.619549,0.498382
10.845496,0.496668
11.071445,0.494759
11.297392,0.495647
11.523340,0.493509
11.749288,0.492401
11.975236,0.491486
12.201183,0.490643
12.427132,0.489481
12.653079,0.486689
12.879027,0.486644
13.104975,0.485001
13.330923,0.484189
13.556870,0.484483
13.782819,0.483436
14.008766,0.481774
14.234715,0.480362
14.460662,0.480187
14.686610,0.478670
14.912558,0.477963
15.138506,0.478136
15.364453,0.476624
15.590402,0.475612
15.816349,0.474935
16.042297,0.474659
16.268246,0.475402
16.494192,0.475415
16.720140,0.474676
16.946089,0.473403
17.172035,0.473214
17.397984,0.471699
17.623932,0.469670
17.849880,0.468235
18.075827,0.468187
18.301775,0.468751
18.527723,0.466966
18.753672,0.465972
18.979618,0.468046
19.205566,0.467688
19.431515,0.466108
19.657463,0.467437
19.883410,0.467084
20.109358,0.466799
20.335306,0.467539
20.561255,0.466640
20.787201,0.466032
21.013149,0.465869
21.239098,0.465710
21.465046,0.464063
21.690992,0.462464
21.916941,0.462223
22.142889,0.461767
22.368837,0.461428
22.594784,0.461258
22.820732,0.460733
23.046680,0.462222
23.272629,0.461395
23.498575,0.459829
23.724524,0.458415
23.950472,0.458995
24.176420,0.459366
24.402367,0.458020
24.628315,0.456898
24.854263,0.456490
25.080210,0.457732
25.306158,0.456970
25.532106,0.457190
25.758055,0.456880
25.984001,0.455209
26.209949,0.455722
