t,density
0.000000,2.000000
0.010112,1.929187
0.020223,1.866117
0.030335,1.809628
0.040446,1.759210
0.050558,1.713993
0.060669,1.673211
0.070781,1.636896
0.080892,1.603853
0.091004,1.574034
0.101115,1.547085
0.111227,1.522442
0.121338,1.499928
0.131450,1.479346
0.141561,1.460430
0.151673,1.443334
0.161784,1.427489
0.171896,1.413002
0.182007,1.399760
0.192119,1.387212
0.202230,1.375637
0.212342,1.364975
0.222453,1.354866
0.232565,1.345460
0.242676,1.336462
0.252788,1.328077
0.262899,1.320166
0.273011,1.312695
0.283122,1.305541
0.293234,1.298867
0.303345,1.292450
0.313457,1.286450
0.323568,1.280705
0.333680,1.275170
0.343791,1.269691
0.353903,1.264672
0.364014,1.259792
0.374126,1.254697
0.384237,1.249970
0.394349,1.245315
0.404460,1.240920
0.414572,1.236623
0.424683,1.232343
0.434795,1.228490
0.444906,1.224614
0.455018,1.220804
0.465129,1.216936
0.475241,1.213186
0.485352,1.209487
0.495464,1.205982
0.505575,1.202556
0.515687,1.199599
0.525798,1.196323
0.535910,1.193022
0.546021,1.189780
0.556133,1.186570
0.566244,1.183261
0.576356,1.180186
0.586467,1.177356
0.596579,1.174442
0.606690,1.171630
0.616802,1.168630
0.626913,1.165757
0.637025,1.162948
0.647136,1.160236
0.657248,1.157612
0.667359,1.154895
0.677471,1.152366
0.687582,1.149834
0.697694,1.147381
0.707805,1.145005
0.717917,1.142446
0.728028,1.139876
0.738140,1.137470
0.748251,1.135204
0.758363,1.132755
0.768474,1.130418
0.778586,1.128043
0.788697,1.125658
0.798809,1.123589
0.808920,1.121488
0.819032,1.119314
0.829143,1.117275
0.839255,1.115012
0.849366,1.112914
0.859478,1.110863
0.869589,1.108726
0.879701,1.106759
0.889812,1.104761
0.899924,1.102817
0.910035,1.100879
0.920147,1.098770
0.930258,1.096791
0.940370,1.095132
0.950481,1.093106
0.960593,1.091267
0.970704,1.089171
0.980816,1.087352
0.990927,1.085546
1.001039,1.083582
1.011150,1.081777
1.021262,1.079857
1.031374,1.078124
1.041485,1.076530
1.051597,1.074856
1.061708,1.073199
1.071820,1.071546
1.081931,1.069805
1.092042,1.068037
1.102154,1.066386
1.112265,1.064644
1.122377,1.062960
1.132488,1.061205
1.142600,1.059420
1.152712,1.057721
1.162823,1.056130
1.172935,1.054565
1.183046,1.053152
1.193158,1.051506
1.203269,1.049999
1.213381,1.048582
1.223492,1.047113
1.233604,1.045777
1.243715,1.044265
1.253827,1.042678
1.263938,1.041096
1.274050,1.039634
1.284161,1.038163
1.294273,1.036760
1.304384,1.035401
1.314496,1.034192
1.324607,1.032970
1.334719,1.031619
1.344830,1.030314
1.354942,1.028866
1.365053,1.027412
1.375165,1.026005
1.385276,1.024564
1.395388,1.023062
1.405499,1.021902
1.415611,1.020650
1.425722,1.019413
1.435834,1.018170
1.445945,1.016876
1.456057,1.015834
1.466168,1.014542
1.476280,1.013434
1.486391,1.012158
1.496503,1.010870
1.506614,1.009538
1.516726,1.008349
1.526837,1.007083
1.536949,1.005806
1.547060,1.004698
1.557172,1.003548
1.567283,1.002254
1.577395,1.001044
1.587506,0.999908
1.597618,0.998672
1.607729,0.997452
1.617841,0.996050
1.627952,0.995108
1.638064,0.994148
1.648175,0.992946
1.658287,0.991725
1.668398,0.990704
1.678510,0.989614
1.688621,0.988546
1.698733,0.987523
1.708844,0.986414
1.718956,0.985094
1.729067,0.984080
1.739179,0.982843
1.749290,0.981783
1.759402,0.980706
1.769513,0.979524
1.779625,0.978312
1.789736,0.977226
1.799848,0.976165
1.809959,0.975368
1.820071,0.974436
1.830182,0.973226
1.840294,0.972108
1.850405,0.971053
1.860517,0.970018
1.870628,0.969150
