t,density
0.000000,2.000000
0.100044,1.557820
0.200089,1.382968
0.300133,1.297168
0.400177,1.242148
0.500222,1.202052
0.600266,1.166908
0.700311,1.139436
0.800355,1.115100
0.900399,1.092624
1.000444,1.071340
1.100488,1.053940
1.200532,1.036996
1.300577,1.022760
1.400621,1.008156
1.500666,0.993608
1.600710,0.980780
1.700754,0.969528
1.800799,0.958148
1.900843,0.947540
2.000887,0.938040
2.100932,0.927484
2.200976,0.918820
2.301020,0.911660
2.401065,0.901848
2.501109,0.896024
2.601154,0.889468
2.701198,0.882736
2.801242,0.877976
2.901287,0.871504
3.001331,0.864728
3.101375,0.858996
3.201420,0.853204
3.301464,0.848412
3.401509,0.840868
3.501553,0.836192
3.601597,0.832372
3.701642,0.826340
3.801686,0.820868
3.901730,0.816208
4.001775,0.811928
4.101819,0.807236
4.201863,0.803288
4.301908,0.798776
4.401952,0.794776
4.501997,0.790952
4.602041,0.786152
4.702085,0.782376
4.802130,0.779520
4.902174,0.774544
5.002218,0.771876
5.102262,0.768564
5.202307,0.765596
5.302351,0.761700
5.402396,0.758924
5.502440,0.755120
5.602485,0.752668
5.702529,0.749212
5.802573,0.746476
5.902617,0.742872
6.002662,0.740580
6.102706,0.738876
6.202751,0.735836
6.302795,0.733520
6.402840,0.730716
6.502884,0.726868
6.602928,0.724792
6.702972,0.723412
6.803017,0.722280
6.903061,0.719596
7.003106,0.716584
7.103150,0.713444
7.203195,0.711152
7.303239,0.709288
7.403283,0.706636
7.503327,0.704308
7.603372,0.702220
7.703416,0.701636
7.803461,0.699792
7.903505,0.696032
8.003550,0.694608
8.103594,0.692412
8.203638,0.691364
8.303682,0.688576
8.403727,0.686676
8.503771,0.684844
8.603815,0.684024
8.703860,0.681284
8.803905,0.680056
8.903949,0.678204
9.003993,0.676680
9.104037,0.675672
9.204082,0.674036
9.304126,0.672528
9.404170,0.669860
9.504215,0.668368
9.604259,0.666268
9.704304,0.663932
9.804348,0.661348
9.904392,0.659900
10.004436,0.657280
10.104481,0.656084
10.204525,0.654812
10.304570,0.653448
10.404614,0.652104
10.504659,0.650884
