t,density
0.000000,2.000000
0.100185,1.554094
0.200371,1.381514
0.300556,1.296048
0.400741,1.242136
0.500927,1.202280
0.601112,1.170304
0.701297,1.142222
0.801483,1.117658
0.901668,1.095306
1.001853,1.075828
1.102039,1.057812
1.202224,1.041526
1.302409,1.026134
1.402595,1.011320
1.502780,0.999032
1.602965,0.986492
1.703151,0.974658
1.803336,0.965366
1.903521,0.955296
2.003707,0.945108
2.103892,0.935368
2.204077,0.927014
2.304263,0.918028
2.404448,0.910054
2.504633,0.901938
2.604819,0.894784
2.705004,0.889036
2.805189,0.881902
2.905375,0.875310
3.005560,0.868922
3.105745,0.863046
3.205931,0.857852
3.306116,0.851744
3.406301,0.846988
3.506487,0.842236
3.606672,0.837076
3.706857,0.832322
3.807043,0.826514
3.907228,0.822224
4.007413,0.817710
4.107599,0.812592
4.207784,0.808978
4.307970,0.804586
4.408155,0.801360
4.508340,0.796866
4.608525,0.793890
4.708711,0.790030
4.808896,0.786278
4.909081,0.783132
5.009267,0.780054
5.109452,0.776354
5.209638,0.773094
5.309823,0.770432
5.410008,0.766832
5.510193,0.764466
5.610379,0.761482
5.710564,0.757984
5.810750,0.754628
5.910935,0.752474
6.011120,0.748728
6.111306,0.744792
6.211491,0.742326
6.311676,0.739286
6.411861,0.737164
6.512047,0.734876
6.612232,0.731900
6.712418,0.729728
6.812603,0.727184
6.912788,0.724374
7.012973,0.721918
7.113159,0.719666
7.213344,0.718040
7.313529,0.715682
7.413715,0.713838
7.513900,0.711282
7.614086,0.708686
7.714271,0.706330
7.814456,0.704414
7.914641,0.701576
8.014827,0.700530
8.115012,0.698566
8.215198,0.696588
8.315383,0.694572
8.415568,0.692354
8.515754,0.690366
8.615939,0.688838
8.716125,0.686946
8.816310,0.685408
8.916495,0.683494
9.016681,0.681984
9.116865,0.680348
9.217051,0.678192
9.317236,0.676690
9.417421,0.675218
9.517607,0.673154
9.617792,0.671186
9.717978,0.669194
9.818163,0.668776
9.918348,0.666948
10.018534,0.666270
10.118719,0.664364
10.218904,0.663228
10.319090,0.661626
10.419275,0.659728
10.519461,0.657986
10.619646,0.657138
10.719831,0.656160
10.820016,0.654494
10.920201,0.653412
11.020387,0.650822
11.120572,0.649870
11.220757,0.648696
11.320943,0.647488
11.421128,0.646330
11.521314,0.645108
11.621499,0.644306
11.721684,0.641586
11.821870,0.640888
11.922055,0.639946
12.022241,0.639746
12.122426,0.638556
12.222611,0.636732
12.322796,0.635712
12.422981,0.633960
12.523167,0.632868
12.623352,0.631722
12.723537,0.630374
12.823723,0.630476
12.923908,0.629642
13.024094,0.629030
13.124279,0.627784
13.224464,0.626934
13.324650,0.625638
13.424835,0.624968
13.525021,0.623228
13.625206,0.622116
13.725391,0.621320
13.825577,0.619564
13.925762,0.618304
14.025947,0.616206
14.126132,0.615520
14.226317,0.613590
14.326503,0.612814
14.426688,0.611676
14.526874,0.611284
14.627059,0.610544
14.727244,0.610518
14.827430,0.608962
14.927615,0.608314
15.027801,0.606890
15.127986,0.606392
15.228171,0.604434
15.328357,0.603700
15.428542,0.603292
15.528728,0.602364
15.628912,0.601062
15.729097,0.600718
15.829283,0.599338
15.929468,0.598970
16.029654,0.597786
16.129839,0.596618
16.230024,0.595184
16.330210,0.593928
16.430395,0.592918
16.530581,0.592394
16.630766,0.591654
16.730951,0.591330
16.831137,0.589916
16.931322,0.588750
17.031507,0.588462
17.131693,0.587988
17.231878,0.586458
17.332064,0.585878
17.432249,0.584590
17.532434,0.584112
17.632620,0.583732
17.732805,0.581968
17.832991,0.580810
17.933176,0.580112
18.033361,0.579294
18.133545,0.578920
18.233730,0.578156
18.333916,0.577580
18.434101,0.576828
18.534286,0.576272
18.634472,0.575576
18.734657,0.575226
18.834843,0.574642
18.935028,0.573972
19.035213,0.572738
19.135399,0.572348
19.235584,0.571540
19.335770,0.570504
19.435955,0.570114
19.536140,0.569364
19.636326,0.569034
19.736511,0.567008
19.836697,0.566680
19.936882,0.565454
20.037067,0.565032
20.137253,0.564654
20.237438,0.564402
20.337624,0.564456
20.437809,0.563334
20.537994,0.562870
20.638180,0.562334
20.738365,0.561700
20.838551,0.560892
20.938736,0.559868
21.038921,0.558940
21.139107,0.558442
21.239292,0.558178
21.339476,0.557704
21.439661,0.556636
21.539846,0.556098
21.640032,0.555348
21.740217,0.555306
21.840403,0.553882
21.940588,0.554190
22.040773,0.553144
22.140959,0.552536
22.241144,0.551394
22.341330,0.551228
22.441515,0.550846
22.541700,0.550486
22.641886,0.550182
22.742071,0.549890
22.842257,0.549742
22.942442,0.548730
23.042627,0.547936
23.142813,0.547716
23.242998,0.546414
23.343184,0.546278
23.443369,0.546098
23.543554,0.545902
23.643740,0.545240
23.743925,0.544680
23.844110,0.544414
23.944296,0.544362
24.044481,0.544416
24.144667,0.543830
24.244852,0.542954
24.345037,0.542074
24.445223,0.541748
24.545408,0.540558
24.645592,0.540540
24.745777,0.539876
24.845963,0.539496
24.946148,0.537982
25.046333,0.537586
25.146519,0.536900
25.246704,0.536548
25.346889,0.536284
25.447075,0.535292
25.547260,0.535064
25.647446,0.534490
25.747631,0.534718
25.847816,0.534450
25.948002,0.533514
26.048187,0.532452
26.148373,0.532586
26.248558,0.532512
26.348743,0.531840
26.448929,0.530936
26.549114,0.529622
26.649300,0.529398
26.749485,0.528848
26.849670,0.528438
26.949856,0.528134
27.050041,0.527376
27.150227,0.527374
27.250412,0.526318
27.350597,0.525898
27.450783,0.525036
