t,density
0.000000,2.000000
0.100954,1.513750
0.201908,1.353250
0.302862,1.278500
0.403816,1.222250
0.504770,1.199750
0.605724,1.164000
0.706678,1.138750
0.807632,1.113500
0.908586,1.089500
1.009540,1.075750
1.110494,1.049500
1.211448,1.037000
1.312402,1.011500
1.413356,1.012000
1.514310,0.993000
1.615264,0.984750
1.716218,0.972250
1.817172,0.959250
1.918126,0.951500
2.019079,0.941000
2.120034,0.942000
2.220987,0.943000
2.321941,0.927750
2.422895,0.912250
2.523849,0.904500
2.624803,0.904250
2.725757,0.895750
2.826711,0.883750
2.927665,0.874250
3.028619,0.870500
3.129573,0.866500
3.230527,0.861250
3.331481,0.855250
3.432435,0.844250
3.533389,0.839500
3.634343,0.825500
3.735297,0.831500
3.836251,0.820500
3.937205,0.819750
4.038159,0.816000
4.139113,0.802000
4.240067,0.791250
4.341021,0.783250
4.441975,0.770500
4.542929,0.772750
4.643883,0.780500
4.744837,0.774750
4.845791,0.779500
4.946745,0.784250
5.047698,0.772000
5.148653,0.775500
5.249607,0.774250
5.350561,0.767000
5.451515,0.760500
5.552469,0.754000
5.653422,0.751000
5.754376,0.752000
5.855330,0.736500
5.956285,0.736000
6.057239,0.733750
6.158193,0.725000
6.259146,0.723000
6.360100,0.718000
6.461054,0.727750
6.562008,0.714750
6.662962,0.710000
6.763916,0.708500
6.864870,0.701500
6.965824,0.700000
7.066778,0.691250
7.167732,0.688000
7.268686,0.690500
7.369640,0.693750
7.470594,0.689500
7.571548,0.690000
7.672502,0.685250
7.773456,0.679750
7.874410,0.671750
7.975364,0.663750
8.076318,0.664500
8.177272,0.665750
8.278226,0.664750
8.379180,0.662750
8.480134,0.651000
8.581088,0.645000
8.682042,0.642750
8.782996,0.650250
8.883949,0.647500
8.984903,0.648500
9.085857,0.640500
9.186811,0.646250
9.287766,0.640000
9.388720,0.636500
9.489674,0.630500
9.590628,0.627250
9.691582,0.630000
9.792536,0.630500
9.893490,0.631500
9.994443,0.619500
10.095397,0.611250
10.196351,0.615500
10.297305,0.604500
10.398259,0.595250
10.499213,0.594000
10.600167,0.601000
10.701121,0.597250
10.802075,0.600750
10.903029,0.601750
11.003983,0.601500
11.104938,0.597750
11.205891,0.584250
11.306845,0.582500
11.407799,0.579500
11.508753,0.580500
11.609707,0.584250
11.710661,0.580250
11.811615,0.573000
11.912569,0.571000
12.013523,0.578000
12.114477,0.567250
12.215431,0.564000
12.316385,0.554000
12.417338,0.550250
12.518292,0.549250
12.619246,0.546750
12.720201,0.544250
12.821155,0.549250
12.922109,0.550500
13.023063,0.552750
13.124017,0.551000
13.224971,0.551250
13.325925,0.549000
13.426879,0.541000
13.527832,0.539750
13.628786,0.539000
13.729740,0.537500
13.830694,0.532250
13.931648,0.534250
14.032602,0.536750
14.133556,0.533000
14.234510,0.532000
14.335464,0.534500
14.436419,0.527250
14.537373,0.528000
14.638327,0.530750
14.739280,0.526750
14.840234,0.522750
14.941188,0.523250
15.042142,0.523250
15.143096,0.520500
15.244050,0.518250
15.345004,0.515750
15.445958,0.512500
15.546912,0.507750
15.647866,0.504000
15.748820,0.509000
15.849774,0.497750
15.950727,0.500500
16.051682,0.494500
16.152636,0.493500
16.253590,0.492750
16.354544,0.495250
16.455498,0.491000
16.556452,0.495750
16.657406,0.490500
16.758360,0.489250
16.859314,0.482000
16.960268,0.475750
17.061222,0.481000
17.162176,0.481000
17.263130,0.478500
17.364084,0.475000
17.465038,0.471500
17.565992,0.472500
17.666945,0.469500
17.767899,0.471000
17.868853,0.467500
17.969807,0.466000
18.070761,0.466000
18.171715,0.468000
18.272669,0.470000
18.373623,0.464500
18.474577,0.463500
18.575531,0.459000
18.676485,0.458250
18.777439,0.472250
18.878393,0.460750
18.979347,0.455250
19.080301,0.453500
19.181255,0.446750
19.282209,0.451750
19.383163,0.442250
19.484118,0.445250
19.585072,0.443750
19.686026,0.446000
19.786980,0.446500
19.887934,0.448750
19.988886,0.445000
20.089840,0.441750
20.190794,0.443500
20.291748,0.444500
20.392702,0.444500
20.493656,0.432750
20.594610,0.435000
20.695564,0.434000
20.796518,0.436000
20.897472,0.433000
20.998426,0.431500
21.099380,0.428500
21.200335,0.426250
21.301289,0.420250
21.402243,0.420000
21.503197,0.420500
21.604151,0.416000
21.705105,0.415250
21.806059,0.415750
21.907013,0.412500
22.007967,0.409500
22.108921,0.412750
22.209875,0.400250
22.310829,0.402000
22.411781,0.405750
22.512735,0.401500
22.613689,0.393000
22.714643,0.392000
22.815598,0.389250
22.916552,0.387000
23.017506,0.386500
23.118460,0.389000
23.219414,0.386250
23.320368,0.380250
23.421322,0.386500
23.522276,0.379750
23.623230,0.382000
23.724184,0.388250
23.825138,0.388000
23.926092,0.384750
24.027046,0.384250
24.128000,0.379250
24.228954,0.371250
24.329908,0.368250
24.430862,0.367000
24.531816,0.369000
24.632771,0.373250
24.733723,0.364000
24.834677,0.363750
24.935631,0.365250
25.036585,0.364000
25.137539,0.361250
25.238493,0.369750
25.339447,0.366500
25.440401,0.367750
25.541355,0.365500
25.642309,0.371750
25.743263,0.363500
25.844217,0.356000
25.945171,0.352250
26.046125,0.347250
26.147079,0.352750
26.248034,0.349500
26.348988,0.349250
26.449942,0.342500
26.550896,0.344750
26.651850,0.341500
26.752804,0.335000
26.853758,0.341500
26.954712,0.336000
27.055664,0.330250
27.156618,0.332000
27.257572,0.323500
27.358526,0.325000
27.459480,0.317500
27.560434,0.322500
27.661388,0.318000
27.762342,0.323000
27.863297,0.319250
27.964251,0.320750
28.065205,0.321000
28.166159,0.322000
28.267113,0.318250
28.368067,0.317750
28.469021,0.315750
28.569975,0.312000
28.670929,0.308250
28.771883,0.309750
28.872837,0.307500
28.973791,0.314500
29.074745,0.309500
29.175699,0.311000
29.276653,0.310500
29.377605,0.314250
29.478559,0.308000
29.579514,0.305500
29.680468,0.304500
29.781422,0.302250
29.882376,0.307000
29.983330,0.303000
30.084284,0.292000
30.185238,0.293750
30.286192,0.299750
30.387146,0.296500
30.488100,0.298750
30.589054,0.296500
30.690008,0.290000
30.790962,0.288500
30.891916,0.289750
30.992870,0.287250
31.093824,0.292250
31.194778,0.292500
31.295732,0.297750
31.396687,0.287000
31.497641,0.290750
31.598595,0.286000
31.699549,0.282750
31.800501,0.281000
31.901455,0.278750
32.002411,0.273250
32.103363,0.276500
32.204319,0.271000
32.305271,0.272250
32.406227,0.274000
32.507179,0.273500
32.608135,0.271750
32.709087,0.268750
32.810043,0.271250
32.910995,0.270750
33.011948,0.271500
33.112904,0.264000
33.213856,0.261750
33.314812,0.262000
33.415764,0.262750
33.516720,0.262750
33.617672,0.261750
33.718628,0.264000
33.819580,0.265000
33.920536,0.262250
34.021488,0.258750
34.122444,0.257750
34.223396,0.257250
