t,density
0.000000,2.000000
1.001424,1.074047
2.002849,0.941672
3.004273,0.869516
4.005698,0.815562
5.007122,0.780281
6.008546,0.756062
7.009971,0.728688
8.011395,0.704641
9.012820,0.688547
10.014244,0.669375
11.015669,0.658172
12.017093,0.645938
13.018517,0.635594
14.019942,0.619938
15.021366,0.609016
16.022791,0.597328
17.024216,0.591703
18.025640,0.578719
19.027063,0.567672
20.028488,0.561984
21.029913,0.551906
22.031338,0.553031
23.032763,0.549828
24.034185,0.551141
25.035610,0.542813
26.037035,0.543406
27.038460,0.539328
28.039885,0.535344
29.041307,0.530234
30.042732,0.528094
31.044157,0.515141
32.045582,0.513703
33.047005,0.511797
34.048431,0.509344
35.049854,0.508734
36.051281,0.507781
37.052704,0.500375
38.054127,0.499984
39.055553,0.496563
40.056976,0.495516
41.058403,0.497656
42.059826,0.485359
43.061249,0.486375
44.062675,0.481156
45.064098,0.483828
46.065525,0.478141
47.066948,0.472734
48.068371,0.469797
49.069798,0.467562
50.071220,0.469531
51.072647,0.464266
52.074070,0.469391
53.075493,0.466500
54.076920,0.463187
55.078342,0.463672
56.079769,0.455391
57.081192,0.455219
58.082615,0.454750
59.084042,0.448062
60.085464,0.451000
61.086891,0.441766
62.088314,0.436719
63.089741,0.436578
64.091164,0.435734
65.092590,0.432328
66.094009,0.428984
67.095436,0.431937
68.096863,0.427187
69.098282,0.424375
70.099709,0.423750
71.101135,0.422969
72.102562,0.423438
73.103981,0.425719
74.105408,0.425812
75.106834,0.426203
76.108253,0.420281
77.109680,0.420625
78.111107,0.411547
79.112526,0.411391
80.113953,0.407266
81.115379,0.402484
82.116806,0.404109
83.118225,0.408687
84.119652,0.405656
85.121078,0.406938
86.122498,0.402156
87.123924,0.404594
88.125351,0.407953
89.126778,0.401078
90.128197,0.399609
91.129623,0.401891
92.131050,0.397609
93.132469,0.397078
94.133896,0.392203
95.135323,0.394328
96.136742,0.395531
97.138168,0.394688
98.139595,0.395156
99.141022,0.395594
100.142441,0.386859
101.143867,0.387094
102.145294,0.388062
103.146713,0.393078
104.148140,0.389391
105.149567,0.378406
106.150986,0.379953
107.152412,0.377312
108.153839,0.374406
109.155266,0.382016
110.156685,0.378781
111.158112,0.379531
112.159538,0.373141
113.160957,0.375141
114.162384,0.378953
115.163811,0.374531
116.165230,0.369000
117.166656,0.369484
118.168083,0.366375
119.169510,0.369531
120.170929,0.367906
121.172356,0.361828
122.173782,0.359203
123.175201,0.364547
124.176628,0.363000
125.178055,0.360875
126.179482,0.356844
127.180901,0.354109
128.182327,0.358250
129.183746,0.357031
130.185181,0.355578
131.186600,0.355656
132.188019,0.350391
133.189453,0.346047
134.190872,0.347922
135.192291,0.344141
136.193726,0.345359
137.195145,0.346859
138.196564,0.344813
139.197998,0.343141
140.199417,0.343750
141.200851,0.345828
142.202271,0.345344
143.203690,0.348844
144.205124,0.344891
145.206543,0.347828
146.207962,0.348016
147.209396,0.346094
148.210815,0.343641
149.212234,0.343625
150.213669,0.344469
151.215088,0.345328
152.216507,0.347406
153.217941,0.344172
154.219360,0.335469
155.220779,0.336000
156.222214,0.335109
157.223633,0.338828
158.225052,0.336500
159.226486,0.341531
160.227905,0.342953
161.229340,0.339000
162.230759,0.338609
163.232178,0.341797
164.233612,0.338750
165.235031,0.339313
166.236450,0.339297
167.237885,0.334813
168.239304,0.341969
169.240723,0.340656
170.242157,0.338828
171.243576,0.336250
172.244995,0.331922
173.246429,0.329141
174.247849,0.332609
175.249268,0.333062
176.250702,0.335437
177.252121,0.331609
178.253555,0.329688
179.254974,0.330984
180.256393,0.323094
181.257828,0.327359
182.259247,0.325984
183.260666,0.329750
184.262100,0.331906
185.263519,0.333125
186.264938,0.328766
187.266373,0.329359
188.267792,0.333375
189.269211,0.331484
190.270645,0.331375
191.272064,0.327062
192.273483,0.324219
193.274918,0.327891
194.276337,0.328578
195.277756,0.331859
196.279190,0.331969
197.280609,0.328859
198.282043,0.326047
199.283463,0.325734
200.284882,0.327469
201.286316,0.329547
202.287735,0.327156
203.289154,0.325125
204.290588,0.322734
205.292007,0.322344
206.293427,0.326000
207.294861,0.318875
208.296280,0.320250
209.297699,0.322125
210.299133,0.320531
211.300552,0.317609
212.301971,0.323594
213.303406,0.320609
214.304825,0.322984
215.306259,0.319656
216.307678,0.320516
217.309097,0.322156
218.310532,0.321906
219.311951,0.318641
220.313370,0.314625
221.314804,0.312266
222.316223,0.313906
223.317642,0.312156
224.319077,0.309063
225.320496,0.310609
226.321915,0.308547
227.323349,0.315891
228.324768,0.312312
229.326187,0.310594
230.327621,0.307641
231.329041,0.311437
232.330460,0.312031
233.331894,0.314984
234.333313,0.314437
235.334747,0.314984
236.336166,0.316063
237.337585,0.312172
238.339020,0.313484
239.340439,0.317516
240.341858,0.310734
241.343292,0.308188
242.344711,0.315828
243.346130,0.313781
244.347565,0.311812
245.348984,0.316719
246.350403,0.313969
247.351837,0.312375
248.353256,0.314828
249.354675,0.314188
250.356110,0.314094
251.357529,0.316609
252.358963,0.314547
253.360382,0.319078
254.361801,0.316422
255.363235,0.317609
256.364655,0.314016
257.366089,0.313078
258.367493,0.309500
259.368927,0.316344
260.370361,0.311469
261.371765,0.315531
262.373199,0.312688
263.374634,0.314688
264.376038,0.311234
265.377472,0.312594
266.378906,0.314672
267.380310,0.314547
268.381744,0.314484
269.383179,0.311453
270.384583,0.313734
271.386017,0.315734
272.387451,0.312844
273.388855,0.310812
274.390289,0.314641
275.391724,0.312859
276.393127,0.312891
277.394562,0.310484
278.395996,0.312172
279.397430,0.308219
280.398834,0.303344
281.400269,0.309000
282.401703,0.303906
283.403107,0.306172
284.404541,0.307453
285.405975,0.309547
286.407379,0.307500
287.408813,0.307328
288.410248,0.304734
289.411652,0.304672
290.413086,0.304281
291.414520,0.305500
292.415924,0.303875
293.417358,0.302594
294.418793,0.307234
295.420197,0.309609
296.421631,0.300375
297.423065,0.302563
