t,density
0.000000,1.000000
0.025226,0.976101
0.050452,0.954589
0.075678,0.935210
0.100903,0.917460
0.126129,0.901535
0.151355,0.886975
0.176581,0.873568
0.201807,0.861307
0.227033,0.849968
0.252258,0.839423
0.277484,0.829706
0.302710,0.820621
0.327936,0.812280
0.353162,0.804288
0.378388,0.796982
0.403613,0.789844
0.428839,0.783165
0.454065,0.776913
0.479291,0.771054
0.504517,0.765367
0.529743,0.760059
0.554968,0.754900
0.580194,0.750168
0.605420,0.745403
0.630646,0.740992
0.655872,0.736745
0.681098,0.732717
0.706324,0.728880
0.731549,0.725113
0.756775,0.721459
0.782001,0.717974
0.807227,0.714680
0.832453,0.711378
0.857679,0.708267
0.882904,0.705288
0.908130,0.702206
0.933356,0.699441
0.958582,0.696723
0.983808,0.693866
1.009034,0.691113
1.034259,0.688570
1.059485,0.686033
1.084711,0.683680
1.109937,0.681365
1.135163,0.679051
1.160389,0.676774
1.185614,0.674550
1.210840,0.672482
1.236066,0.670473
1.261292,0.668523
1.286518,0.666520
1.311744,0.664596
1.336969,0.662770
1.362195,0.660945
1.387421,0.659024
1.412647,0.657035
1.437873,0.655277
1.463099,0.653571
1.488325,0.651821
1.513550,0.650134
1.538776,0.648395
1.564002,0.646780
1.589228,0.645391
1.614454,0.643859
1.639680,0.642371
1.664905,0.640992
1.690131,0.639532
1.715357,0.638085
1.740583,0.636615
1.765809,0.635238
1.791035,0.633988
1.816260,0.632766
1.841486,0.631480
1.866712,0.630257
1.891938,0.629003
1.917164,0.627638
1.942390,0.626381
1.967615,0.625179
1.992841,0.623857
2.018067,0.622708
2.043293,0.621673
2.068519,0.620459
2.093745,0.619480
2.118971,0.618285
2.144197,0.617220
2.169422,0.616118
2.194648,0.615072
2.219874,0.614076
2.245100,0.613071
2.270326,0.611942
2.295552,0.610896
2.320777,0.610112
2.346003,0.609137
2.371229,0.608136
2.396455,0.607364
2.421681,0.606390
2.446907,0.605394
2.472132,0.604434
2.497358,0.603503
2.522584,0.602534
2.547810,0.601700
2.573036,0.600905
2.598262,0.600133
2.623487,0.599253
2.648713,0.598353
2.673939,0.597625
2.699165,0.596764
2.724391,0.595954
2.749617,0.595291
2.774843,0.594676
2.800068,0.593968
2.825294,0.593244
2.850520,0.592435
2.875746,0.591604
2.900972,0.590834
2.926198,0.589988
2.951423,0.589389
2.976649,0.588772
3.001875,0.587979
3.027101,0.587188
3.052327,0.586406
3.077553,0.585701
3.102778,0.584945
3.128004,0.584233
3.153230,0.583523
3.178456,0.582771
3.203682,0.582245
3.228908,0.581505
3.254133,0.580928
3.279359,0.580225
3.304585,0.579579
3.329811,0.578865
3.355037,0.578246
3.380263,0.577669
3.405488,0.577151
3.430714,0.576487
3.455940,0.575799
3.481166,0.575264
3.506392,0.574733
3.531618,0.574030
3.556844,0.573523
3.582069,0.572977
3.607295,0.572383
3.632521,0.571833
3.657747,0.571301
3.682973,0.570766
3.708199,0.570283
3.733424,0.569745
3.758650,0.569171
3.783876,0.568615
3.809102,0.568127
3.834328,0.567526
3.859554,0.566956
3.884779,0.566359
3.910005,0.565856
3.935231,0.565508
3.960457,0.564965
3.985683,0.564427
4.010909,0.564098
4.036134,0.563573
4.061360,0.562998
4.086586,0.562347
4.111812,0.561898
4.137038,0.561400
4.162263,0.560984
4.187490,0.560481
4.212715,0.559856
4.237941,0.559453
4.263167,0.558972
4.288393,0.558595
4.313619,0.558184
4.338844,0.557602
4.364070,0.557189
4.389296,0.556913
4.414522,0.556349
4.439748,0.555893
4.464974,0.555390
4.490200,0.554951
4.515425,0.554408
4.540651,0.553907
4.565877,0.553429
4.591103,0.553046
4.616329,0.552671
4.641554,0.552231
4.666780,0.551665
4.692006,0.551140
4.717232,0.550671
4.742458,0.550330
4.767684,0.549945
4.792910,0.549591
4.818135,0.549137
4.843361,0.548791
4.868587,0.548562
4.893813,0.548190
4.919039,0.547869
4.944265,0.547488
4.969491,0.547054
4.994716,0.546698
5.019942,0.546387
5.045168,0.546058
5.070394,0.545719
5.095620,0.545316
5.120845,0.544955
5.146071,0.544487
5.171297,0.544138
5.196523,0.543789
5.221749,0.543506
5.246975,0.543070
5.272201,0.542620
5.297426,0.542172
5.322652,0.541783
5.347878,0.541469
5.373104,0.541151
5.398330,0.540786
5.423556,0.540418
5.448781,0.540029
5.474007,0.539634
5.499233,0.539234
5.524459,0.538852
5.549685,0.538497
5.574911,0.538160
5.600136,0.537719
5.625362,0.537416
5.650588,0.537088
5.675814,0.536800
5.701040,0.536561
5.726266,0.536236
