t,density
0.000000,1.000000
1.000228,0.683207
2.000455,0.611508
3.000683,0.573559
4.000911,0.546969
5.001138,0.539516
6.001366,0.513137
7.001594,0.502957
8.001822,0.494148
9.002048,0.481555
10.002276,0.474211
11.002504,0.468297
12.002732,0.460680
13.002959,0.449508
14.003187,0.444180
15.003415,0.441000
16.003643,0.432254
17.003870,0.429871
18.004097,0.426609
19.004326,0.421480
20.004553,0.420289
21.004782,0.413023
22.005009,0.407555
23.005236,0.410879
24.005465,0.402172
25.005692,0.407363
26.005919,0.404941
27.006147,0.401285
28.006374,0.394652
29.006601,0.385543
30.006830,0.392313
31.007057,0.392945
32.007286,0.386637
33.007511,0.386562
34.007740,0.390434
35.007969,0.391328
36.008194,0.388719
37.008423,0.382492
38.008652,0.383238
39.008881,0.387656
40.009106,0.381129
41.009335,0.379535
42.009563,0.386270
43.009789,0.377711
44.010017,0.373070
45.010246,0.372945
46.010471,0.380949
47.010700,0.378473
48.010929,0.380742
49.011154,0.379406
50.011383,0.378648
51.011612,0.378398
52.011837,0.374309
53.012066,0.373965
54.012295,0.371758
55.012520,0.370074
56.012749,0.369375
57.012978,0.372453
58.013203,0.369770
59.013432,0.371605
60.013660,0.364098
61.013885,0.368090
62.014114,0.361434
63.014343,0.358445
64.014572,0.358613
65.014801,0.358812
66.015022,0.353828
67.015251,0.358875
68.015480,0.355406
69.015709,0.350004
70.015938,0.348934
71.016167,0.348500
72.016388,0.343527
73.016617,0.341590
74.016846,0.334652
75.017075,0.336680
76.017303,0.334867
77.017532,0.342484
78.017761,0.344051
79.017982,0.344527
80.018211,0.338551
81.018440,0.343266
82.018669,0.336477
83.018898,0.330984
84.019127,0.333852
85.019348,0.329363
86.019577,0.331375
87.019806,0.337496
88.020035,0.332879
89.020264,0.329629
90.020493,0.325813
91.020714,0.319957
92.020943,0.319641
93.021172,0.318145
94.021400,0.316648
95.021629,0.318277
96.021858,0.312766
97.022079,0.311445
98.022308,0.311879
99.022537,0.308457
100.022766,0.310047
101.022995,0.311105
102.023224,0.312664
103.023453,0.309945
104.023674,0.315199
105.023903,0.305559
106.024132,0.310922
107.024361,0.313141
108.024590,0.311414
109.024818,0.309879
110.025040,0.306453
111.025269,0.305574
112.025497,0.300328
113.025726,0.302465
114.025955,0.299793
115.026184,0.305195
116.026405,0.304344
117.026634,0.303656
118.026863,0.300828
119.027092,0.301742
120.027321,0.299426
121.027550,0.295004
122.027771,0.297809
123.028000,0.292934
124.028229,0.297758
125.028458,0.300703
126.028687,0.298734
127.028915,0.297520
128.029144,0.294531
129.029373,0.291402
130.029602,0.290125
131.029831,0.290852
132.030045,0.287898
133.030273,0.288598
134.030502,0.288742
135.030731,0.290602
136.030960,0.293172
137.031189,0.293586
138.031418,0.290852
139.031647,0.288672
140.031876,0.289852
141.032104,0.292266
142.032333,0.291535
143.032562,0.292516
144.032776,0.291340
145.033005,0.291910
146.033234,0.293801
147.033463,0.289125
148.033691,0.293574
149.033920,0.293477
150.034149,0.294199
151.034378,0.297555
152.034607,0.299199
153.034836,0.290277
154.035065,0.296555
155.035294,0.292574
156.035522,0.295582
157.035736,0.299016
158.035965,0.298879
159.036194,0.297617
160.036423,0.295918
161.036652,0.296965
162.036880,0.292977
163.037109,0.288969
164.037338,0.290953
165.037567,0.288219
166.037796,0.291910
167.038025,0.290687
168.038254,0.294195
