t,density
0.000000,1.000000
1.003409,0.682984
2.006818,0.611375
3.010226,0.572359
4.013635,0.545687
5.017044,0.526172
6.020452,0.510500
7.023861,0.496344
8.027270,0.484063
9.030679,0.478125
10.034087,0.470313
11.037497,0.465547
12.040905,0.459516
13.044313,0.454406
14.047723,0.445906
15.051131,0.443766
16.054541,0.437797
17.057949,0.436063
18.061357,0.433141
19.064766,0.428219
20.068174,0.423469
21.071585,0.420203
22.074993,0.419797
23.078402,0.417125
24.081810,0.410109
25.085218,0.406484
26.088627,0.402531
27.092037,0.400219
28.095446,0.395328
29.098854,0.390266
30.102262,0.389531
31.105671,0.383672
32.109081,0.384281
33.112488,0.381766
34.115898,0.380469
35.119305,0.377656
36.122715,0.377406
37.126125,0.377703
38.129532,0.374672
39.132942,0.374281
40.136349,0.372203
41.139759,0.370875
42.143169,0.373078
43.146576,0.366734
44.149986,0.363125
45.153393,0.365312
46.156803,0.362781
47.160213,0.360672
48.163620,0.360891
49.167030,0.361750
50.170437,0.361438
51.173847,0.364063
52.177254,0.360891
53.180664,0.363438
54.184074,0.362219
55.187481,0.355531
56.190891,0.356031
57.194298,0.355516
58.197708,0.351687
59.201118,0.355766
60.204525,0.355375
61.207935,0.352797
62.211342,0.352125
63.214752,0.350562
64.218163,0.351016
65.221573,0.350484
66.224976,0.347797
67.228386,0.344187
68.231796,0.346438
69.235207,0.347219
70.238609,0.346219
71.242020,0.345938
72.245430,0.343797
73.248840,0.345734
74.252251,0.341828
75.255653,0.341125
76.259064,0.341562
77.262474,0.343047
78.265884,0.340969
79.269295,0.341047
80.272697,0.340516
81.276108,0.338297
82.279518,0.335141
83.282928,0.334953
84.286339,0.333250
85.289742,0.333672
86.293152,0.333984
87.296562,0.327266
88.299973,0.326391
89.303383,0.327062
90.306786,0.327219
91.310196,0.324047
92.313606,0.326031
93.317017,0.322937
94.320427,0.324516
95.323830,0.322313
96.327240,0.320969
97.330650,0.318328
98.334061,0.316766
99.337463,0.320344
100.340874,0.317609
101.344284,0.318578
102.347694,0.321297
103.351105,0.322062
104.354507,0.322156
105.357918,0.322656
106.361328,0.318188
107.364738,0.317469
108.368149,0.314172
109.371552,0.315625
110.374962,0.314266
111.378372,0.314594
112.381783,0.316328
113.385193,0.315969
114.388596,0.315266
115.392006,0.315578
116.395416,0.313734
117.398827,0.312594
118.402237,0.312000
119.405640,0.313375
120.409050,0.316594
121.412460,0.312734
122.415871,0.311375
123.419273,0.310578
124.422684,0.311781
125.426094,0.311078
126.429504,0.310844
127.432915,0.309953
128.436325,0.311891
129.439728,0.311266
130.443146,0.305781
131.446548,0.304203
132.449951,0.304812
133.453369,0.301391
134.456772,0.303641
135.460190,0.303906
136.463593,0.299969
137.466995,0.299156
138.470413,0.301563
139.473816,0.302922
140.477219,0.301922
141.480637,0.298703
142.484039,0.297547
143.487457,0.299563
144.490860,0.300672
145.494263,0.301563
146.497681,0.298672
147.501083,0.298375
148.504501,0.295219
149.507904,0.297859
150.511307,0.296500
151.514725,0.296797
152.518127,0.295453
153.521545,0.296422
154.524948,0.293172
155.528351,0.292719
156.531769,0.292203
157.535172,0.292859
158.538589,0.291187
159.541992,0.286656
160.545395,0.289000
161.548813,0.291625
162.552216,0.289953
163.555634,0.289438
164.559036,0.288906
165.562439,0.287594
166.565857,0.287953
167.569260,0.291641
168.572678,0.286516
169.576080,0.285844
170.579483,0.287891
171.582901,0.285516
172.586304,0.286406
173.589722,0.287719
174.593124,0.287062
175.596527,0.282922
176.599945,0.284531
177.603348,0.282672
178.606766,0.282672
179.610168,0.281484
180.613571,0.281375
181.616989,0.281250
182.620392,0.279984
183.623810,0.279625
184.627213,0.277656
185.630615,0.277719
186.634033,0.276500
187.637436,0.276156
188.640854,0.279313
189.644257,0.279625
190.647659,0.279453
191.651077,0.278062
192.654480,0.279406
193.657883,0.281281
194.661301,0.280453
195.664703,0.277984
196.668121,0.277922
197.671524,0.278625
198.674927,0.275687
199.678345,0.276641
200.681747,0.273266
201.685165,0.271047
202.688568,0.274047
203.691971,0.271656
204.695389,0.269156
205.698792,0.273234
206.702209,0.271719
207.705612,0.270859
208.709015,0.265297
209.712433,0.269656
210.715836,0.271000
211.719254,0.270531
212.722656,0.267750
213.726059,0.272672
214.729477,0.272703
215.732880,0.272359
216.736298,0.269953
217.739700,0.268516
218.743103,0.268891
219.746521,0.265125
220.749924,0.263937
221.753342,0.262375
222.756744,0.263906
223.760147,0.263797
224.763565,0.258891
225.766968,0.257937
226.770386,0.254688
227.773788,0.257453
228.777191,0.257219
229.780609,0.257750
230.784012,0.260078
231.787430,0.262156
232.790833,0.261047
233.794235,0.262547
234.797653,0.262156
235.801056,0.261813
236.804474,0.262141
237.807877,0.260516
238.811279,0.259672
239.814697,0.260641
240.818100,0.262484
241.821518,0.264016
242.824921,0.261172
243.828323,0.262156
244.831741,0.260484
245.835144,0.257047
246.838547,0.259953
247.841965,0.258688
248.845367,0.257047
249.848785,0.255969
250.852188,0.254703
251.855591,0.253125
252.859009,0.250672
253.862411,0.252500
254.865829,0.251109
255.869232,0.250797
256.872650,0.252172
257.876038,0.252406
258.879456,0.255328
259.882874,0.256344
260.886292,0.254859
261.889679,0.251391
262.893097,0.251031
263.896515,0.249969
264.899902,0.247578
265.903320,0.245797
266.906738,0.243297
267.910126,0.239203
268.913544,0.238750
269.916962,0.242484
270.920380,0.241953
271.923767,0.243406
272.927185,0.238469
273.930603,0.239219
274.933990,0.239187
275.937408,0.238844
276.940826,0.243031
277.944214,0.239813
278.947632,0.241391
279.951050,0.239766
280.954437,0.237625
281.957855,0.237953
282.961273,0.238500
283.964691,0.237891
284.968079,0.241172
285.971497,0.239734
286.974915,0.236156
287.978302,0.235672
288.981720,0.236609
289.985138,0.236469
290.988525,0.234156
291.991943,0.233266
292.995361,0.232047
293.998779,0.230828
295.002167,0.237406
296.005585,0.234469
297.009003,0.232297
298.012390,0.233187
299.015808,0.233109
300.019226,0.232063
301.022614,0.232563
302.026031,0.230313
303.029449,0.232156
304.032867,0.229750
305.036255,0.231375
306.039673,0.231375
307.043091,0.231797
308.046478,0.231359
309.049896,0.229672
310.053314,0.229937
311.056702,0.229172
312.060120,0.229203
313.063538,0.230750
314.066956,0.228953
315.070343,0.230875
316.073761,0.230016
317.077179,0.227266
318.080566,0.227406
319.083984,0.229437
320.087402,0.227422
321.090790,0.226141
322.094208,0.227437
323.097626,0.229313
324.101044,0.225922
325.104431,0.227609
326.107849,0.226312
327.111267,0.226062
328.114655,0.227094
329.118073,0.226641
330.121490,0.225000
331.124878,0.223672
332.128296,0.224547
333.131714,0.223297
334.135101,0.225531
335.138519,0.224203
336.141937,0.222422
337.145355,0.220359
338.148743,0.221328
339.152161,0.221734
340.155579,0.221750
341.158966,0.220969
342.162384,0.220297
343.165802,0.218109
344.169189,0.219891
345.172607,0.217422
346.176025,0.215250
