t,density
0.000000,1.000000
0.253827,0.836635
0.507653,0.760429
0.761480,0.715265
1.015307,0.682651
1.269134,0.658149
1.522960,0.639153
1.776787,0.623845
2.030614,0.612436
2.284441,0.600722
2.538267,0.589729
2.792094,0.581002
3.045921,0.572087
3.299747,0.565967
3.553574,0.558247
3.807401,0.551938
4.061227,0.545627
4.315054,0.540878
4.568881,0.536193
4.822708,0.530682
5.076534,0.526640
5.330361,0.524024
5.584188,0.520529
5.838015,0.517658
6.091841,0.513609
6.345668,0.509467
6.599494,0.505773
6.853321,0.503353
7.107148,0.499949
7.360975,0.497589
7.614801,0.494449
7.868628,0.492751
8.122455,0.490235
8.376282,0.488104
8.630108,0.485278
8.883935,0.483991
9.137762,0.482131
9.391588,0.478502
9.645415,0.476684
9.899241,0.475531
10.153069,0.474644
10.406896,0.472404
10.660722,0.470349
10.914549,0.467056
11.168375,0.464538
11.422202,0.463662
11.676029,0.463415
11.929855,0.461984
12.183682,0.459884
12.437509,0.458775
12.691336,0.458409
12.945163,0.456682
13.198989,0.455467
13.452816,0.453818
13.706642,0.450880
13.960469,0.449185
14.214296,0.449373
14.468122,0.447411
14.721950,0.446413
14.975776,0.445453
15.229603,0.443876
15.483430,0.442482
15.737256,0.441185
15.991083,0.439244
16.244909,0.439240
16.498737,0.438176
16.752563,0.437742
17.006390,0.436455
17.260216,0.434824
17.514044,0.433136
17.767870,0.431807
18.021696,0.431011
18.275524,0.429378
18.529350,0.429573
18.783176,0.428184
19.037004,0.427120
19.290831,0.428078
19.544657,0.428369
19.798483,0.427036
20.052311,0.424655
20.306137,0.424458
20.559963,0.422855
20.813791,0.421227
21.067617,0.420655
21.321444,0.420815
21.575272,0.419469
21.829098,0.419000
22.082924,0.417904
22.336750,0.415998
22.590578,0.414396
22.844404,0.414522
23.098230,0.412595
23.352058,0.411455
23.605885,0.411078
23.859711,0.409573
24.113539,0.409084
24.367365,0.408753
24.621191,0.408187
24.875017,0.407502
25.128845,0.406189
25.382671,0.404380
25.636497,0.403500
25.890326,0.404504
26.144152,0.405705
26.397978,0.405589
26.651806,0.404338
26.905632,0.402896
27.159458,0.401289
27.413284,0.400813
27.667112,0.399924
27.920938,0.399658
28.174765,0.398980
28.428593,0.398225
28.682419,0.397275
28.936245,0.396500
29.190073,0.395747
29.443899,0.395487
29.697725,0.396000
29.951551,0.395229
30.205379,0.394976
30.459206,0.394545
30.713032,0.393038
30.966860,0.392753
31.220686,0.392555
31.474512,0.389860
31.728340,0.390096
31.982166,0.389424
32.235992,0.389405
32.489819,0.389676
32.743645,0.389300
32.997475,0.388482
33.251301,0.388573
33.505127,0.387656
33.758953,0.387624
34.012779,0.386555
34.266605,0.385444
34.520432,0.384385
34.774261,0.384958
35.028088,0.384698
35.281914,0.384405
35.535740,0.383660
35.789566,0.383084
36.043392,0.381942
36.297222,0.383027
36.551048,0.381613
36.804874,0.381464
37.058701,0.381184
37.312527,0.380675
37.566353,0.380515
37.820179,0.380476
38.074009,0.379978
38.327835,0.379473
38.581661,0.378760
38.835487,0.378965
39.089314,0.379051
39.343140,0.379838
39.596966,0.378265
39.850796,0.377571
40.104622,0.376222
40.358448,0.376253
40.612274,0.376185
40.866100,0.374878
41.119926,0.374816
41.373756,0.374436
41.627583,0.374380
41.881409,0.374222
42.135235,0.374905
42.389061,0.373964
42.642887,0.373736
42.896713,0.372909
43.150543,0.372436
43.404369,0.371371
43.658195,0.371276
43.912022,0.370691
44.165848,0.369891
44.419674,0.368933
44.673500,0.367802
44.927330,0.367033
45.181156,0.366767
45.434982,0.366171
45.688808,0.365824
45.942635,0.364791
46.196461,0.363211
46.450291,0.363825
46.704117,0.364311
46.957943,0.363455
47.211769,0.364196
47.465595,0.364145
47.719421,0.363853
47.973248,0.362544
48.227077,0.361687
48.480904,0.361307
48.734730,0.361787
48.988556,0.360785
49.242382,0.360633
49.496208,0.360398
49.750034,0.359916
50.003864,0.358696
50.257690,0.359169
50.511517,0.359124
50.765343,0.359478
51.019169,0.358949
51.272995,0.359691
51.526825,0.359649
51.780651,0.359035
52.034477,0.359464
52.288303,0.358289
52.542130,0.358582
52.795956,0.359562
53.049782,0.359260
53.303612,0.358991
53.557438,0.357945
53.811264,0.357885
54.065090,0.358095
54.318916,0.358633
54.572742,0.358735
54.826569,0.358744
55.080399,0.358949
55.334225,0.358771
55.588051,0.358075
55.841877,0.356529
56.095703,0.356545
56.349529,0.355309
56.603359,0.355202
56.857185,0.354685
57.111012,0.354900
57.364838,0.354847
57.618664,0.354576
57.872490,0.354067
58.126316,0.354140
58.380146,0.354584
58.633972,0.354120
58.887798,0.353909
59.141624,0.353855
59.395451,0.353500
59.649277,0.353242
59.903103,0.352671
60.156933,0.352564
60.410759,0.352622
60.664585,0.352869
60.918411,0.352220
61.172237,0.352347
61.426064,0.351505
61.679893,0.351287
61.933720,0.350515
62.187546,0.350431
62.441372,0.350231
62.695198,0.348855
62.949024,0.349816
63.202850,0.349927
63.456680,0.349380
63.710506,0.350051
63.964333,0.349509
64.218163,0.349689
64.471985,0.349180
64.725815,0.349029
64.979637,0.349455
65.233467,0.349745
65.487289,0.349513
65.741119,0.348364
65.994949,0.348655
66.248772,0.347840
66.502602,0.347245
66.756424,0.347035
67.010254,0.347402
67.264076,0.346735
67.517906,0.346984
67.771736,0.346400
68.025558,0.346525
68.279388,0.346135
68.533211,0.346435
68.787041,0.345653
69.040863,0.345105
69.294693,0.344325
69.548523,0.344353
69.802345,0.344307
70.056175,0.344380
70.309998,0.344209
70.563828,0.342636
70.817650,0.342107
71.071480,0.342376
71.325310,0.343391
71.579132,0.343771
71.832962,0.343211
72.086784,0.343175
72.340614,0.343860
72.594444,0.342973
72.848267,0.343071
73.102097,0.341824
73.355919,0.341965
73.609749,0.341891
73.863571,0.341345
74.117401,0.342493
74.371231,0.341296
74.625053,0.340558
74.878883,0.340387
75.132706,0.339711
75.386536,0.339420
75.640358,0.339204
75.894188,0.338658
76.148018,0.338155
76.401840,0.336855
76.655670,0.336289
76.909492,0.335940
77.163322,0.335835
77.417145,0.335776
77.670975,0.335851
77.924805,0.335682
78.178627,0.336791
78.432457,0.336964
78.686279,0.336069
78.940109,0.335215
79.193932,0.334942
79.447762,0.334682
79.701591,0.334035
79.955414,0.334009
80.209244,0.333187
80.463066,0.333511
80.716896,0.333936
80.970718,0.334080
81.224548,0.333204
81.478378,0.333031
81.732201,0.333235
81.986031,0.332573
