t,density
0.000000,1.000000
0.250213,0.840470
0.500426,0.766209
0.750639,0.722585
1.000852,0.691852
1.251065,0.668684
1.501278,0.650480
1.751491,0.636201
2.001704,0.624200
2.251918,0.613269
2.502131,0.603322
2.752344,0.594687
3.002557,0.587083
3.252770,0.580422
3.502983,0.574704
3.753196,0.569571
4.003409,0.564363
4.253622,0.558049
4.503835,0.554560
4.754048,0.550730
5.004261,0.546358
5.254474,0.543330
5.504687,0.539379
5.754900,0.536308
6.005114,0.532672
6.255327,0.530048
6.505539,0.527097
6.755753,0.524741
7.005966,0.522307
7.256179,0.519965
7.506392,0.517863
7.756605,0.515270
8.006818,0.512438
8.257031,0.509826
8.507244,0.508217
8.757457,0.506104
9.007670,0.504820
9.257883,0.502756
9.508097,0.500648
9.758309,0.498841
10.008523,0.497236
10.258736,0.495259
10.508948,0.494038
10.759162,0.493249
11.009375,0.492076
11.259588,0.490284
11.509801,0.488483
11.760014,0.487947
12.010227,0.486468
12.260440,0.484542
12.510653,0.484539
12.760866,0.483374
13.011079,0.482503
13.261292,0.481667
13.511505,0.480485
13.761719,0.478393
14.011931,0.476737
14.262145,0.475829
14.512358,0.474910
14.762570,0.474111
15.012784,0.472758
15.262997,0.471483
15.513210,0.470541
15.763423,0.469547
16.013636,0.468783
16.263849,0.468288
16.514063,0.467329
16.764275,0.465794
17.014488,0.465773
17.264702,0.465697
17.514914,0.465165
17.765127,0.464439
18.015341,0.463708
18.265554,0.462974
18.515766,0.461806
18.765980,0.461675
19.016193,0.460811
19.266405,0.460512
19.516619,0.459634
19.766832,0.458909
20.017046,0.458132
20.267258,0.457525
20.517471,0.456078
20.767685,0.455461
21.017897,0.455081
21.268110,0.454171
21.518324,0.454035
21.768536,0.452689
22.018749,0.452332
22.268963,0.451490
22.519176,0.450878
22.769388,0.450085
23.019602,0.449736
23.269815,0.449939
23.520027,0.449982
23.770241,0.448938
24.020454,0.448053
24.270668,0.448025
24.520880,0.447327
24.771093,0.446149
25.021307,0.446562
25.271519,0.446453
25.521732,0.445967
25.771946,0.445245
26.022158,0.445095
26.272371,0.444097
26.522585,0.442917
26.772799,0.442479
27.023010,0.442437
27.273224,0.442242
27.523438,0.441466
27.773649,0.440654
28.023863,0.440545
28.274076,0.439770
28.524290,0.439364
28.774502,0.439195
29.024715,0.438646
29.274929,0.437523
29.525141,0.438133
29.775354,0.437753
30.025568,0.437815
30.275780,0.437317
30.525993,0.437077
30.776207,0.436768
31.026421,0.436420
31.276632,0.436446
31.526846,0.435801
31.777060,0.435245
32.027271,0.435238
32.277485,0.434902
32.527699,0.434515
32.777912,0.434150
33.028126,0.433376
33.278336,0.433190
33.528549,0.433202
33.778763,0.432467
34.028976,0.432689
34.279190,0.431524
34.529404,0.431603
34.779617,0.430783
35.029827,0.430419
35.280041,0.429719
35.530254,0.429550
35.780468,0.430037
36.030682,0.430491
36.280895,0.430002
36.531109,0.429082
36.781319,0.428786
37.031532,0.428273
37.281746,0.427626
37.531960,0.428311
37.782173,0.428402
38.032387,0.428324
38.282600,0.427893
38.532810,0.427911
38.783024,0.427439
39.033237,0.426265
39.283451,0.426126
39.533665,0.426068
39.783878,0.426577
40.034092,0.425944
40.284302,0.425497
40.534515,0.425526
40.784729,0.424841
41.034943,0.425001
41.285156,0.424938
41.535370,0.423826
41.785580,0.422935
42.035793,0.423592
42.286007,0.422891
42.536221,0.423246
42.786434,0.423059
43.036648,0.423787
43.286861,0.423203
43.537071,0.423254
43.787285,0.423056
44.037498,0.422726
44.287712,0.422215
44.537926,0.422322
44.788139,0.421931
45.038353,0.421855
45.288563,0.421071
45.538776,0.420716
45.788990,0.421020
46.039204,0.420952
46.289417,0.420451
46.539631,0.420477
46.789845,0.419512
47.040054,0.419726
47.290268,0.419181
47.540482,0.419014
47.790695,0.418229
48.040909,0.418525
48.291122,0.419118
48.541336,0.419006
48.791546,0.418950
49.041759,0.418093
49.291973,0.417770
49.542187,0.417251
49.792400,0.416865
50.042614,0.417214
50.292828,0.417507
50.543037,0.417618
50.793251,0.417312
51.043465,0.417317
51.293678,0.416874
51.543892,0.415976
51.794106,0.415851
52.044315,0.415773
52.294529,0.415750
52.544743,0.415684
52.794956,0.415217
53.045170,0.415499
53.295383,0.414831
53.545597,0.414636
53.795807,0.414394
54.046021,0.413901
54.296234,0.413432
54.546448,0.413944
54.796661,0.413557
55.046875,0.413774
55.297089,0.413996
55.547298,0.414588
55.797512,0.414277
56.047726,0.414081
56.297939,0.413364
56.548153,0.413405
56.798367,0.412468
57.048580,0.412525
57.298790,0.412267
57.549004,0.412604
57.799217,0.411891
58.049431,0.411752
58.299644,0.412078
58.549858,0.411969
58.800072,0.411381
59.050282,0.411733
59.300495,0.410967
59.550709,0.411187
59.800922,0.410770
60.051136,0.410526
60.301350,0.409758
60.551559,0.410180
60.801773,0.410568
61.051987,0.411001
61.302200,0.410911
61.552414,0.409777
61.802628,0.409641
62.052841,0.409140
62.303051,0.409147
62.553265,0.409716
62.803478,0.409668
63.053692,0.409818
63.303905,0.409562
63.554119,0.409280
63.804333,0.408802
64.054543,0.408091
64.304756,0.408314
64.554970,0.408368
64.805183,0.408522
65.055397,0.409038
65.305611,0.408599
65.555824,0.408631
65.806038,0.408299
66.056252,0.407863
66.306465,0.407443
66.556671,0.407042
66.806885,0.406974
67.057098,0.407574
67.307312,0.407259
67.557526,0.406990
67.807739,0.407555
