t,density
0.000000,1.000000
0.232674,0.845410
0.465349,0.771950
0.698023,0.725650
0.930698,0.696430
1.163372,0.668240
1.396047,0.648890
1.628721,0.630570
1.861396,0.617450
2.094070,0.606410
2.326745,0.594990
2.559419,0.587990
2.792094,0.583530
3.024768,0.573220
3.257443,0.565540
3.490117,0.561320
3.722792,0.553540
3.955466,0.547710
4.188141,0.544510
4.420815,0.539900
4.653490,0.535890
4.886164,0.530980
5.118839,0.526360
5.351513,0.524000
5.584188,0.520510
5.816862,0.516810
6.049537,0.513970
6.282211,0.509810
6.514885,0.507010
6.747560,0.502850
6.980235,0.501880
7.212909,0.498230
7.445583,0.496810
7.678258,0.495380
7.910933,0.492180
8.143607,0.489830
8.376282,0.487960
8.608956,0.486370
8.841630,0.484390
9.074305,0.483510
9.306979,0.480090
9.539654,0.475850
9.772328,0.475520
10.005003,0.472520
10.237678,0.471900
10.470352,0.470970
10.703026,0.469560
10.935700,0.467830
11.168375,0.466060
11.401050,0.463230
11.633724,0.463200
11.866399,0.460730
12.099073,0.460050
12.331748,0.459320
12.564423,0.457260
12.797096,0.457050
13.029771,0.455800
13.262445,0.454420
13.495120,0.453790
13.727795,0.451750
13.960469,0.450430
14.193144,0.450710
14.425818,0.449230
14.658492,0.447470
14.891167,0.446400
15.123841,0.445980
15.356516,0.444550
15.589190,0.444850
15.821865,0.445090
16.054539,0.442930
16.287214,0.442990
16.519888,0.439620
16.752563,0.438360
16.985237,0.439450
17.217913,0.439860
17.450586,0.438460
17.683260,0.436020
17.915936,0.434700
18.148609,0.431040
18.381285,0.430850
18.613958,0.427270
18.846634,0.428820
19.079308,0.425110
19.311983,0.423690
19.544657,0.423050
19.777330,0.421940
20.010006,0.421370
20.242680,0.422650
20.475355,0.420960
20.708029,0.420650
20.940704,0.421330
21.173378,0.421050
21.406052,0.419090
21.638727,0.418240
21.871401,0.417370
22.104076,0.417260
22.336750,0.417720
22.569426,0.417230
22.802099,0.414550
23.034775,0.415230
23.267448,0.413010
23.500122,0.412220
23.732798,0.410510
23.965471,0.412420
24.198147,0.411100
24.430820,0.412570
24.663496,0.411760
24.896170,0.409670
25.128845,0.410010
25.361519,0.410370
25.594193,0.409920
25.826868,0.408900
26.059542,0.406800
26.292217,0.407170
26.524891,0.408630
26.757566,0.406980
26.990240,0.405770
27.222914,0.404970
27.455589,0.404250
27.688263,0.404110
27.920938,0.404010
28.153612,0.402730
28.386288,0.400970
28.618961,0.401280
28.851637,0.399480
29.084311,0.397310
29.316984,0.397310
29.549660,0.398140
29.782333,0.396270
30.015009,0.396380
30.247683,0.394630
30.480358,0.394310
30.713032,0.394670
30.945707,0.393060
31.178381,0.392080
31.411055,0.392770
31.643730,0.392730
31.876404,0.390980
32.109077,0.390180
32.341755,0.390820
32.574429,0.388430
32.807102,0.388190
33.039776,0.388320
33.272449,0.388130
33.505127,0.388460
33.737801,0.387680
33.970474,0.388850
34.203148,0.387870
34.435825,0.386040
34.668499,0.387470
34.901173,0.387240
35.133846,0.387560
35.366520,0.384770
35.599197,0.384020
35.831871,0.383520
36.064545,0.384550
36.297218,0.383190
36.529896,0.384070
36.762569,0.382730
36.995243,0.384580
37.227917,0.382040
37.460590,0.382140
37.693268,0.383080
37.925941,0.384010
38.158615,0.384370
38.391289,0.382650
38.623966,0.381560
38.856640,0.379900
39.089314,0.379260
39.321987,0.377520
39.554661,0.376200
39.787338,0.373880
40.020012,0.374100
40.252686,0.375130
40.485359,0.374490
40.718033,0.374260
40.950710,0.374190
41.183384,0.373740
41.416058,0.375520
41.648731,0.375970
41.881409,0.374260
42.114082,0.372100
42.346756,0.373030
42.579430,0.372290
42.812103,0.371320
43.044781,0.370230
43.277454,0.369080
43.510128,0.370070
43.742802,0.370340
43.975479,0.370590
44.208153,0.370170
44.440826,0.370480
44.673500,0.371780
44.906174,0.370930
45.138851,0.371640
45.371525,0.371520
45.604198,0.372210
45.836872,0.373320
46.069550,0.370870
46.302223,0.370470
46.534897,0.370620
46.767570,0.368690
47.000244,0.368990
47.232922,0.369450
47.465595,0.370710
47.698269,0.370680
47.930943,0.371780
48.163620,0.371770
48.396294,0.371860
48.628967,0.372390
48.861641,0.369610
49.094315,0.368230
49.326992,0.366210
49.559666,0.365830
49.792339,0.368190
50.025013,0.367860
50.257690,0.367890
50.490364,0.368280
50.723038,0.367760
50.955711,0.366990
51.188385,0.366160
51.421062,0.367310
51.653736,0.366310
51.886410,0.365600
52.119083,0.363780
52.351757,0.363030
52.584435,0.362640
52.817108,0.364540
53.049782,0.364980
53.282455,0.364770
53.515133,0.363140
53.747807,0.362060
53.980480,0.361980
54.213154,0.361340
54.445827,0.361180
54.678505,0.359160
54.911179,0.360740
55.143852,0.361020
55.376526,0.361040
55.609203,0.361470
55.841877,0.361780
56.074551,0.361350
56.307224,0.361220
56.539898,0.360820
56.772575,0.361010
57.005249,0.360990
57.237923,0.359930
57.470596,0.361030
57.703274,0.359140
57.935947,0.356100
58.168621,0.355320
58.401295,0.353900
58.633968,0.354040
58.866646,0.353410
59.099319,0.353080
59.331993,0.353020
59.564667,0.350260
59.797344,0.352730
60.030018,0.353140
60.262691,0.355120
60.495365,0.353580
60.728039,0.353500
60.960716,0.352080
61.193390,0.352440
61.426064,0.351730
61.658737,0.353170
61.891415,0.353430
62.124088,0.352810
62.356762,0.350300
62.589436,0.349850
62.822109,0.349940
63.054787,0.350620
63.287460,0.349710
63.520134,0.350060
63.752808,0.349920
63.985481,0.350370
64.218155,0.349290
64.450829,0.350650
64.683510,0.349550
64.916183,0.349010
65.148857,0.348350
65.381531,0.348800
65.614204,0.350480
65.846878,0.351860
66.079552,0.350350
66.312225,0.350210
66.544899,0.349930
66.777580,0.350120
67.010254,0.350760
67.242928,0.350910
67.475601,0.351560
67.708275,0.351200
67.940948,0.349210
68.173622,0.349760
68.406296,0.349260
68.638969,0.348700
68.871651,0.348150
69.104324,0.348830
69.336998,0.347130
69.569672,0.344940
69.802345,0.346460
70.035019,0.347610
70.267693,0.347680
70.500366,0.347380
70.733040,0.349070
70.965721,0.350090
71.198395,0.349140
71.431068,0.350160
71.663742,0.349150
71.896416,0.349080
72.129089,0.347120
72.361763,0.348370
72.594437,0.347730
72.827110,0.345550
73.059792,0.346160
73.292465,0.345420
73.525139,0.345130
73.757812,0.345390
73.990486,0.343860
74.223160,0.344170
74.455833,0.344410
74.688507,0.344560
74.921181,0.343220
75.153862,0.343290
75.386536,0.343800
75.619209,0.344410
75.851883,0.342840
76.084557,0.343530
76.317230,0.343540
76.549904,0.343120
76.782578,0.344030
77.015251,0.343720
77.247932,0.342930
77.480606,0.342270
77.713280,0.342350
77.945953,0.340360
78.178627,0.340630
78.411301,0.341650
78.643974,0.341360
78.876648,0.341590
79.109322,0.342110
79.342003,0.342450
79.574677,0.342920
79.807350,0.341540
